TransactionID,TransactionDate,CalendarYear,Quarter,MonthNumber,MonthName,DepartmentKey,CategoryKey,VendorKey,RegionKey,ProjectKey,Description,PaymentMethod,PostingStatus,NetAmount_AUD,GST_AUD,GrossAmount_AUD,PurchaseOrder,InvoiceNumber,OriginalCurrency,ExchangeRate
TX000076,2025-01-02,2025,1,1,January,D005,C019,V026,R01,P008,Vehicle Expenses expense - Sales,Corporate Card,Posted,427.08,42.71,469.79,,,AUD,1.0
TX000077,2025-09-12,2025,3,9,September,D008,C016,V015,R04,P004,Insurance expense - Facilities,Corporate Card,Posted,549.78,54.98,604.76,,,AUD,1.0
TX000078,2026-01-08,2026,1,1,January,D003,C011,V003,R01,P008,Office Supplies expense - Human Resources,Invoice,Posted,143.17,14.32,157.49,PO-48680,INV-442589,AUD,1.0
TX000079,2026-02-04,2026,1,2,February,D007,C004,V024,R01,P008,Contractors expense - Customer Service,Direct Debit,Posted,2637.08,263.71,2900.79,,INV-605254,AUD,1.0
TX000080,2026-04-05,2026,2,4,April,D005,C019,V030,R04,P008,Vehicle Expenses expense - Sales,Invoice,Posted,365.17,36.52,401.69,PO-98188,INV-885395,AUD,1.0
TX000081,2025-11-19,2025,4,11,November,D005,C012,V024,R02,P008,Telecommunications expense - Sales,Invoice,Posted,201.46,20.15,221.61,PO-89964,INV-332120,AUD,1.0
TX000082,2025-10-25,2025,4,10,October,D002,C016,V020,R04,P008,Insurance expense - Finance,Invoice,Pending,552.36,55.24,607.6,PO-25220,INV-201913,AUD,1.0
TX000083,2024-08-28,2024,3,8,August,D003,C007,V035,R02,P008,Training expense - Human Resources,Invoice,Posted,185.51,18.55,204.06,PO-74139,INV-745558,AUD,1.0
TX000084,2025-02-21,2025,1,2,February,D005,C001,V029,R03,P003,Software & SaaS expense - Sales,Invoice,Posted,13224.29,1322.43,14546.72,PO-26011,INV-989227,AUD,1.0
TX000085,2026-04-23,2026,2,4,April,D008,C003,V002,R03,P008,Hardware expense - Facilities,Expense Claim,Posted,373.3,37.33,410.63,,,AUD,1.0
TX000086,2026-04-29,2026,2,4,April,D004,C010,V022,R01,P008,Events expense - Marketing,Corporate Card,Pending,4132.67,413.27,4545.94,,,AUD,1.0
TX000087,2024-05-13,2024,2,5,May,D005,C006,V009,R01,P008,Travel expense - Sales,Invoice,Posted,409.97,41.0,450.97,PO-78955,INV-219169,AUD,1.0
TX000088,2026-02-02,2026,1,2,February,D002,C006,V007,R02,P005,Travel expense - Finance,Corporate Card,Accrued,623.52,62.35,685.87,,,AUD,1.0
TX000089,2025-11-05,2025,4,11,November,D005,C010,V031,R03,P001,Events expense - Sales,Invoice,Posted,2626.88,262.69,2889.57,PO-20589,INV-437758,AUD,1.0
TX000090,2025-09-14,2025,3,9,September,D003,C001,V021,R01,P008,Software & SaaS expense - Human Resources,Invoice,Posted,683.45,68.35,751.8,PO-24996,INV-994217,AUD,1.0
TX000091,2025-11-01,2025,4,11,November,D004,C009,V022,R02,P004,Advertising expense - Marketing,Corporate Card,Posted,4511.45,451.14,4962.59,,,AUD,1.0
TX000092,2024-09-18,2024,3,9,September,D006,C004,V006,R03,P008,Contractors expense - Operations,Corporate Card,Posted,4116.66,411.67,4528.33,,,AUD,1.0
TX000093,2024-05-05,2024,2,5,May,D007,C007,V028,R04,P008,Training expense - Customer Service,Invoice,Posted,176.72,17.67,194.39,PO-24184,INV-467121,AUD,1.0
TX000094,2026-05-15,2026,2,5,May,D006,C003,V028,R03,P008,Hardware expense - Operations,Corporate Card,Accrued,2566.26,256.63,2822.89,,,AUD,1.0
TX000095,2026-04-29,2026,2,4,April,D005,C001,V020,R01,P008,Software & SaaS expense - Sales,Invoice,Posted,2306.5,230.65,2537.15,PO-19120,INV-248766,AUD,1.0
TX000096,2026-01-28,2026,1,1,January,D001,C001,V027,R03,P003,Software & SaaS expense - Information Technology,Invoice,Accrued,1285.7,128.57,1414.27,PO-88148,INV-189083,AUD,1.0
TX000097,2026-06-23,2026,2,6,June,D001,C002,V006,R01,P008,Cloud Services expense - Information Technology,Invoice,Posted,772.9,77.29,850.19,PO-77154,INV-219346,AUD,1.0
TX000098,2024-12-19,2024,4,12,December,D007,C001,V032,R01,P008,Software & SaaS expense - Customer Service,Invoice,Posted,1051.39,105.14,1156.53,PO-37686,INV-904624,USD,1.4582
TX000099,2024-05-20,2024,2,5,May,D005,C009,V028,R01,P001,Advertising expense - Sales,Corporate Card,Posted,736.75,73.67,810.42,,,AUD,1.0
TX000100,2026-04-05,2026,2,4,April,D006,C003,V028,R02,P008,Hardware expense - Operations,Invoice,Posted,2665.61,266.56,2932.17,PO-25096,INV-524707,AUD,1.0
TX000101,2024-01-22,2024,1,1,January,D006,C004,V024,R04,P008,Contractors expense - Operations,Invoice,Posted,746.41,74.64,821.05,PO-54500,INV-332335,AUD,1.0
TX000102,2024-12-07,2024,4,12,December,D003,C001,V033,R02,P002,Software & SaaS expense - Human Resources,Invoice,Posted,172.05,17.21,189.26,PO-23474,INV-253557,USD,1.5468
TX000103,2024-09-19,2024,3,9,September,D004,C004,V005,R03,P008,Contractors expense - Marketing,Corporate Card,Accrued,1616.07,161.61,1777.68,,,AUD,1.0
TX000104,2025-08-01,2025,3,8,August,D006,C019,V031,R01,P007,Vehicle Expenses expense - Operations,Invoice,Posted,749.03,74.9,823.93,PO-50685,INV-584172,AUD,1.0
TX000105,2025-04-07,2025,2,4,April,D001,C001,V006,R01,P004,Software & SaaS expense - Information Technology,Invoice,Posted,1350.12,135.01,1485.13,PO-15376,INV-571579,AUD,1.0
TX000106,2026-04-09,2026,2,4,April,D004,C006,V004,R03,P008,Travel expense - Marketing,Direct Debit,Posted,357.04,35.7,392.74,,INV-141043,USD,1.4626
TX000107,2024-09-10,2024,3,9,September,D008,C013,V024,R02,P008,Rent expense - Facilities,Invoice,Posted,1990.05,199.0,2189.05,PO-92691,INV-778748,AUD,1.0
TX000108,2024-12-08,2024,4,12,December,D002,C005,V019,R01,P008,Consulting expense - Finance,Corporate Card,Posted,600.96,60.1,661.06,,,AUD,1.0
TX000109,2024-03-27,2024,1,3,March,D005,C012,V009,R01,P008,Telecommunications expense - Sales,Corporate Card,Posted,1398.26,139.83,1538.09,,,AUD,1.0
TX000110,2025-10-23,2025,4,10,October,D007,C020,V012,R01,P005,Customer Support Tools expense - Customer Service,Direct Debit,Pending,1744.43,174.44,1918.87,,INV-262471,AUD,1.0
TX000111,2024-03-20,2024,1,3,March,D005,C001,V034,R02,P008,Software & SaaS expense - Sales,Direct Debit,Posted,407.89,40.79,448.68,,INV-270128,AUD,1.0
TX000112,2024-07-04,2024,3,7,July,D003,C011,V016,R02,P007,Office Supplies expense - Human Resources,Invoice,Accrued,997.95,99.8,1097.75,PO-71474,INV-975679,AUD,1.0
TX000113,2024-07-17,2024,3,7,July,D006,C019,V030,R05,P008,Vehicle Expenses expense - Operations,Invoice,Posted,3975.45,397.55,4373.0,PO-36174,INV-940181,AUD,1.0
TX000114,2025-09-11,2025,3,9,September,D003,C006,V024,R01,P008,Travel expense - Human Resources,Direct Debit,Posted,540.67,54.07,594.74,,INV-900185,AUD,1.0
TX000115,2024-06-13,2024,2,6,June,D005,C010,V028,R04,P002,Events expense - Sales,Invoice,Posted,3106.67,310.67,3417.34,PO-20696,INV-493124,AUD,1.0
TX000116,2024-08-17,2024,3,8,August,D001,C003,V022,R05,P008,Hardware expense - Information Technology,Invoice,Posted,1372.92,137.29,1510.21,PO-28191,INV-895702,AUD,1.0
TX000117,2025-12-23,2025,4,12,December,D008,C013,V002,R03,P008,Rent expense - Facilities,Invoice,Posted,372.86,37.29,410.15,PO-24573,INV-913875,AUD,1.0
TX000118,2024-10-22,2024,4,10,October,D004,C006,V030,R01,P004,Travel expense - Marketing,Corporate Card,Posted,674.68,67.47,742.15,,,AUD,1.0
TX000119,2024-10-25,2024,4,10,October,D007,C001,V027,R03,P004,Software & SaaS expense - Customer Service,Invoice,Accrued,297.43,29.74,327.17,PO-81313,INV-631971,AUD,1.0
TX000120,2026-03-16,2026,1,3,March,D001,C004,V025,R04,P001,Contractors expense - Information Technology,Corporate Card,Posted,789.08,78.91,867.99,,,AUD,1.0
TX000121,2024-12-06,2024,4,12,December,D003,C001,V012,R01,P005,Software & SaaS expense - Human Resources,Expense Claim,Posted,3850.19,385.02,4235.21,,,AUD,1.0
TX000122,2024-05-18,2024,2,5,May,D002,C016,V019,R03,P008,Insurance expense - Finance,Direct Debit,Posted,70.72,7.07,77.79,,INV-517568,AUD,1.0
TX000123,2026-04-14,2026,2,4,April,D008,C011,V019,R01,P008,Office Supplies expense - Facilities,Direct Debit,Posted,95.97,9.6,105.57,,INV-485896,AUD,1.0
TX000124,2025-03-23,2025,1,3,March,D007,C012,V012,R04,P006,Telecommunications expense - Customer Service,Direct Debit,Posted,385.13,38.51,423.64,,INV-862400,AUD,1.0
TX000125,2025-03-10,2025,1,3,March,D002,C006,V035,R03,P008,Travel expense - Finance,Invoice,Posted,502.21,50.22,552.43,PO-65851,INV-274739,AUD,1.0
TX000126,2025-12-07,2025,4,12,December,D008,C011,V023,R02,P008,Office Supplies expense - Facilities,Corporate Card,Posted,288.64,28.86,317.5,,,AUD,1.0
TX000127,2025-11-18,2025,4,11,November,D007,C007,V011,R02,P008,Training expense - Customer Service,Invoice,Posted,523.07,52.31,575.38,PO-58015,INV-479742,AUD,1.0
TX000128,2025-01-27,2025,1,1,January,D001,C005,V024,R01,P007,Consulting expense - Information Technology,Invoice,Posted,609.94,60.99,670.93,PO-95139,INV-392227,AUD,1.0
TX000129,2024-09-12,2024,3,9,September,D002,C001,V025,R03,P008,Software & SaaS expense - Finance,Invoice,Posted,3304.75,330.48,3635.23,PO-74382,INV-309902,AUD,1.0
TX000130,2024-05-05,2024,2,5,May,D003,C001,V029,R02,P008,Software & SaaS expense - Human Resources,Invoice,Posted,2103.24,210.32,2313.56,PO-30644,INV-846385,AUD,1.0
TX000131,2025-12-27,2025,4,12,December,D003,C006,V013,R02,P002,Travel expense - Human Resources,Invoice,Posted,818.07,81.81,899.88,PO-71263,INV-942700,AUD,1.0
TX000132,2025-07-18,2025,3,7,July,D003,C008,V026,R04,P001,Recruitment expense - Human Resources,Direct Debit,Pending,448.77,44.88,493.65,,INV-773540,AUD,1.0
TX000133,2024-03-16,2024,1,3,March,D008,C013,V012,R03,P005,Rent expense - Facilities,Invoice,Posted,3713.13,371.31,4084.44,PO-77908,INV-260448,AUD,1.0
TX000134,2024-11-07,2024,4,11,November,D003,C004,V023,R01,P008,Contractors expense - Human Resources,Invoice,Posted,5515.5,551.55,6067.05,PO-82199,INV-387782,AUD,1.0
TX000135,2024-05-08,2024,2,5,May,D005,C012,V011,R02,P008,Telecommunications expense - Sales,Invoice,Accrued,515.42,51.54,566.96,PO-54252,INV-983456,AUD,1.0
TX000136,2025-07-31,2025,3,7,July,D001,C020,V017,R04,P002,Customer Support Tools expense - Information Technology,Invoice,Posted,1663.6,166.36,1829.96,PO-92203,INV-672079,AUD,1.0
TX000137,2024-10-23,2024,4,10,October,D005,C010,V026,R01,P008,Events expense - Sales,Invoice,Posted,587.16,58.72,645.88,PO-36741,INV-456717,AUD,1.0
TX000138,2025-09-13,2025,3,9,September,D003,C006,V023,R04,P005,Travel expense - Human Resources,Invoice,Posted,341.93,34.19,376.12,PO-42495,INV-247720,AUD,1.0
TX000139,2024-04-09,2024,2,4,April,D001,C003,V027,R05,P008,Hardware expense - Information Technology,Invoice,Posted,463.57,46.36,509.93,PO-75308,INV-639728,AUD,1.0
TX000140,2025-04-23,2025,2,4,April,D008,C011,V026,R02,P002,Office Supplies expense - Facilities,Invoice,Posted,274.23,27.42,301.65,PO-74866,INV-726543,AUD,1.0
TX000141,2026-06-22,2026,2,6,June,D008,C011,V028,R02,P008,Office Supplies expense - Facilities,Invoice,Posted,117.13,11.71,128.84,PO-16705,INV-697983,AUD,1.0
TX000142,2025-07-29,2025,3,7,July,D004,C006,V033,R02,P001,Travel expense - Marketing,Direct Debit,Posted,433.85,43.39,477.24,,INV-234913,AUD,1.0
TX000143,2024-04-09,2024,2,4,April,D007,C007,V024,R04,P005,Training expense - Customer Service,Invoice,Posted,418.38,41.84,460.22,PO-27961,INV-848255,AUD,1.0
TX000144,2024-12-07,2024,4,12,December,D008,C014,V033,R02,P008,Utilities expense - Facilities,Corporate Card,Posted,453.8,45.38,499.18,,,AUD,1.0
TX000145,2025-06-03,2025,2,6,June,D008,C015,V002,R02,P008,Repairs & Maintenance expense - Facilities,Expense Claim,Posted,330.54,33.05,363.59,,,AUD,1.0
TX000146,2026-01-12,2026,1,1,January,D001,C005,V015,R02,P008,Consulting expense - Information Technology,Invoice,Posted,2422.15,242.22,2664.37,PO-59832,INV-254954,AUD,1.0
TX000147,2026-04-21,2026,2,4,April,D004,C001,V013,R02,P008,Software & SaaS expense - Marketing,Invoice,Posted,405.81,40.58,446.39,PO-90147,INV-594514,AUD,1.0
TX000148,2026-06-12,2026,2,6,June,D001,C012,V021,R01,P003,Telecommunications expense - Information Technology,Invoice,Posted,347.98,34.8,382.78,PO-99226,INV-774558,AUD,1.0
TX000149,2026-04-02,2026,2,4,April,D005,C012,V018,R02,P008,Telecommunications expense - Sales,Expense Claim,Posted,428.25,42.83,471.08,,,AUD,1.0
TX000150,2024-07-31,2024,3,7,July,D008,C011,V018,R02,P008,Office Supplies expense - Facilities,Invoice,Posted,117.16,11.72,128.88,PO-55237,INV-910616,AUD,1.0
TX000151,2026-04-03,2026,2,4,April,D003,C006,V006,R01,P008,Travel expense - Human Resources,Invoice,Posted,350.76,35.08,385.84,PO-80592,INV-384303,AUD,1.0
TX000152,2025-07-29,2025,3,7,July,D005,C006,V016,R01,P008,Travel expense - Sales,Invoice,Posted,183.27,18.33,201.6,PO-64172,INV-446337,AUD,1.0
TX000153,2026-01-04,2026,1,1,January,D008,C003,V011,R03,P002,Hardware expense - Facilities,Direct Debit,Posted,140.66,14.07,154.73,,INV-401198,AUD,1.0
TX000154,2024-11-24,2024,4,11,November,D005,C019,V015,R01,P008,Vehicle Expenses expense - Sales,Direct Debit,Posted,981.21,98.12,1079.33,,INV-978292,AUD,1.0
TX000155,2024-06-29,2024,2,6,June,D001,C020,V019,R02,P008,Customer Support Tools expense - Information Technology,Expense Claim,Pending,796.55,79.66,876.21,,,AUD,1.0
